Classes of objects created,Number of objects created(Original),Number of objects created(Modified),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original),Number of unique objects manipulated(Modified),Modified - Original,Percentage(Gain/Loss),Number of objects created(Original-Normalized),Number of objects created(Modified-Normalized),Modified - Original,Percentage(Gain/Loss),Number of unique objects manipulated(Original-Normalized),Number of unique objects manipulated(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
class java.lang.Byte,0,1221,1221,"INF%",0,5,5,"INF%",0.0,0.11729106628242075,0.11729106628242075,"INF%",0.0,0.0004803073967339097,0.0004803073967339097,"INF%"
class java.nio.DirectFloatBufferS,0,1367,1367,"INF%",0,1353,1353,"INF%",0.0,0.1313160422670509,0.1313160422670509,"INF%",0.0,0.12997118155619597,0.12997118155619597,"INF%"
class java.util.regex.Matcher,0,1365,1365,"INF%",0,1147,1147,"INF%",0.0,0.13112391930835735,0.13112391930835735,"INF%",0.0,0.11018251681075888,0.11018251681075888,"INF%"
class java.nio.ByteBufferAsShortBufferRB,0,3,3,"INF%",0,2,2,"INF%",0.0,0.00028818443804034583,0.00028818443804034583,"INF%",0.0,0.00019212295869356388,0.00019212295869356388,"INF%"
class java.nio.DirectByteBuffer,0,74264,74264,"INF%",0,17825,17825,"INF%",0.0,7.133909702209414,7.133909702209414,"INF%",0.0,1.7122958693563881,1.7122958693563881,"INF%"
class java.lang.Long,0,3235,3235,"INF%",0,20,20,"INF%",0.0,0.31075888568683957,0.31075888568683957,"INF%",0.0,0.0019212295869356388,0.0019212295869356388,"INF%"
class [B,0,9496,9496,"INF%",0,33,33,"INF%",0.0,0.9121998078770414,0.9121998078770414,"INF%",0.0,0.003170028818443804,0.003170028818443804,"INF%"
class java.nio.DirectIntBufferRS,0,10,10,"INF%",0,10,10,"INF%",0.0,0.0009606147934678194,0.0009606147934678194,"INF%",0.0,0.0009606147934678194,0.0009606147934678194,"INF%"
class java.nio.DirectDoubleBufferS,0,657,657,"INF%",0,645,645,"INF%",0.0,0.06311239193083573,0.06311239193083573,"INF%",0.0,0.06195965417867435,0.06195965417867435,"INF%"
class java.util.stream.ReferencePipeline$Head,0,1175,1175,"INF%",0,1175,1175,"INF%",0.0,0.11287223823246878,0.11287223823246878,"INF%",0.0,0.11287223823246878,0.11287223823246878,"INF%"
class java.nio.ByteBufferAsDoubleBufferB,0,11,11,"INF%",0,8,8,"INF%",0.0,0.0010566762728146013,0.0010566762728146013,"INF%",0.0,0.0007684918347742555,0.0007684918347742555,"INF%"
class java.nio.DirectIntBufferS,0,999,999,"INF%",0,975,975,"INF%",0.0,0.09596541786743516,0.09596541786743516,"INF%",0.0,0.0936599423631124,0.0936599423631124,"INF%"
class sun.security.ssl.SSLSocketFactoryImpl,0,545,545,"INF%",0,1,1,"INF%",0.0,0.05235350624399616,0.05235350624399616,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
class java.nio.DirectLongBufferS,0,285,285,"INF%",0,280,280,"INF%",0.0,0.027377521613832854,0.027377521613832854,"INF%",0.0,0.026897214217098942,0.026897214217098942,"INF%"
class java.lang.Short,0,3398,3398,"INF%",0,5,5,"INF%",0.0,0.32641690682036506,0.32641690682036506,"INF%",0.0,0.0004803073967339097,0.0004803073967339097,"INF%"
class java.lang.Double,0,2877,2877,"INF%",0,30,30,"INF%",0.0,0.27636887608069166,0.27636887608069166,"INF%",0.0,0.002881844380403458,0.002881844380403458,"INF%"
class java.nio.ByteBufferAsShortBufferB,0,404,404,"INF%",0,27,27,"INF%",0.0,0.0388088376560999,0.0388088376560999,"INF%",0.0,0.0025936599423631124,0.0025936599423631124,"INF%"
class java.nio.DirectLongBufferU,0,1,1,"INF%",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
class java.nio.DirectDoubleBufferRS,0,2,2,"INF%",0,2,2,"INF%",0.0,0.00019212295869356388,0.00019212295869356388,"INF%",0.0,0.00019212295869356388,0.00019212295869356388,"INF%"
class java.nio.DirectShortBufferRS,0,1,1,"INF%",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
class java.nio.HeapByteBuffer,0,2764,2764,"INF%",0,276,276,"INF%",0.0,0.26551392891450526,0.26551392891450526,"INF%",0.0,0.026512968299711816,0.026512968299711816,"INF%"
class [Ljava.lang.String;,0,1085,1085,"INF%",0,75,75,"INF%",0.0,0.1042267050912584,0.1042267050912584,"INF%",0.0,0.007204610951008645,0.007204610951008645,"INF%"
class sun.security.ssl.SSLSocketImpl,0,2079,2079,"INF%",0,2079,2079,"INF%",0.0,0.19971181556195966,0.19971181556195966,"INF%",0.0,0.19971181556195966,0.19971181556195966,"INF%"
class java.nio.DirectFloatBufferRS,0,2,2,"INF%",0,2,2,"INF%",0.0,0.00019212295869356388,0.00019212295869356388,"INF%",0.0,0.00019212295869356388,0.00019212295869356388,"INF%"
class java.nio.ByteBufferAsIntBufferB,0,10,10,"INF%",0,8,8,"INF%",0.0,0.0009606147934678194,0.0009606147934678194,"INF%",0.0,0.0007684918347742555,0.0007684918347742555,"INF%"
class java.util.regex.Pattern$$Lambda$223/1191960377,0,718,718,"INF%",0,1,1,"INF%",0.0,0.06897214217098943,0.06897214217098943,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
class java.nio.DirectLongBufferRS,0,5,5,"INF%",0,5,5,"INF%",0.0,0.0004803073967339097,0.0004803073967339097,"INF%",0.0,0.0004803073967339097,0.0004803073967339097,"INF%"
class java.nio.ByteBufferAsCharBufferB,0,53,53,"INF%",0,15,15,"INF%",0.0,0.005091258405379443,0.005091258405379443,"INF%",0.0,0.001440922190201729,0.001440922190201729,"INF%"
class java.nio.ByteBufferAsFloatBufferB,0,13,13,"INF%",0,8,8,"INF%",0.0,0.0012487992315081652,0.0012487992315081652,"INF%",0.0,0.0007684918347742555,0.0007684918347742555,"INF%"
class java.nio.HeapByteBufferR,0,37,37,"INF%",0,18,18,"INF%",0.0,0.003554274735830932,0.003554274735830932,"INF%",0.0,0.001729106628242075,0.001729106628242075,"INF%"
class java.nio.DirectFloatBufferU,0,3,3,"INF%",0,3,3,"INF%",0.0,0.00028818443804034583,0.00028818443804034583,"INF%",0.0,0.00028818443804034583,0.00028818443804034583,"INF%"
class java.nio.DirectShortBufferS,0,409,409,"INF%",0,407,407,"INF%",0.0,0.03928914505283381,0.03928914505283381,"INF%",0.0,0.039097022094140246,0.039097022094140246,"INF%"
class java.nio.ByteBufferAsLongBufferB,0,51,51,"INF%",0,22,22,"INF%",0.0,0.004899135446685879,0.004899135446685879,"INF%",0.0,0.0021133525456292026,0.0021133525456292026,"INF%"
class java.nio.DirectCharBufferS,0,1956,1956,"INF%",0,1890,1890,"INF%",0.0,0.18789625360230547,0.18789625360230547,"INF%",0.0,0.18155619596541786,0.18155619596541786,"INF%"
class java.lang.Character,0,856,856,"INF%",0,12,12,"INF%",0.0,0.08222862632084534,0.08222862632084534,"INF%",0.0,0.0011527377521613833,0.0011527377521613833,"INF%"
