Methods called,Number of times(Original),Number of times(Modified),Modified - Original,Percentage(Gain/Loss),Number of times(Original-Normalized),Number of times(Modified-Normalized),Modified - Original,Percentage(Gain/Loss)
"public static java.net.HttpURLConnection org.jsoup.helper.HttpConnection$Response.createConnection(org.jsoup.Connection$Request) throws java.io.IOException",1,1,0,"0.0%",4.0417104518632284e-05,9.606147934678194e-05,5.5644374828149656e-05,"137.68%"
"public java.lang.String org.jsoup.helper.HttpConnection$Response.statusMessage()",6769,1265,-5504,"-81.31%",0.27358338048662195,0.12151777137367915,-0.1520656091129428,"-55.58%"
"public org.jsoup.nodes.Document org.jsoup.helper.HttpConnection$Response.parse() throws java.io.IOException",978,130,-848,"-86.71%",0.03952792821922237,0.012487992315081652,-0.02703993590414072,"-68.41%"
"public java.util.Map$Entry org.jsoup.helper.HttpConnection$Base.scanHeaders(java.lang.String)",19087,970,-18117,"-94.92%",0.7714412739471345,0.09317963496637849,-0.678261638980756,"-87.92%"
"org.jsoup.helper.HttpConnection$Response(org.jsoup.helper.HttpConnection$Response)",29767,15132,-14635,"-49.17%",1.2030959502061271,1.4536023054755043,0.25050635526937715,"20.82%"
"public org.jsoup.Connection$Base org.jsoup.helper.HttpConnection$Base.header(java.lang.String|java.lang.String)",18090,399,-17691,"-97.79%",0.731145420742058,0.038328530259365994,-0.692816890482692,"-94.76%"
"public java.lang.String org.jsoup.helper.HttpConnection$Base.header(java.lang.String)",6653,313,-6340,"-95.3%",0.2688949963624606,0.030067243035542746,-0.23882775332691786,"-88.82%"
"public abstract short java.nio.ByteBuffer.getShort(int)",0,2815,2815,"INF%",0.0,0.27041306436119117,0.27041306436119117,"INF%"
"public static final int java.util.regex.Pattern.MULTILINE",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public abstract short java.nio.ByteBuffer.getShort()",0,639,639,"INF%",0.0,0.06138328530259366,0.06138328530259366,"INF%"
"public final int java.nio.Buffer.remaining()",0,327,327,"INF%",0.0,0.0314121037463977,0.0314121037463977,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putInt(int)",0,13066,13066,"INF%",0.0,1.2551392891450528,1.2551392891450528,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putInt(int|int)",0,318,318,"INF%",0.0,0.03054755043227666,0.03054755043227666,"INF%"
"public abstract java.nio.FloatBuffer java.nio.ByteBuffer.asFloatBuffer()",0,1376,1376,"INF%",0.0,0.13218059558117196,0.13218059558117196,"INF%"
"public static java.util.regex.Pattern java.util.regex.Pattern.compile(java.lang.String|int)",0,1817,1817,"INF%",0.0,0.17454370797310279,0.17454370797310279,"INF%"
"public static java.util.regex.Pattern java.util.regex.Pattern.compile(java.lang.String)",0,168,168,"INF%",0.0,0.016138328530259365,0.016138328530259365,"INF%"
"public final int java.nio.Buffer.position()",0,2779,2779,"INF%",0.0,0.266954851104707,0.266954851104707,"INF%"
"public final java.nio.Buffer java.nio.Buffer.position(int)",0,473,473,"INF%",0.0,0.045437079731027855,0.045437079731027855,"INF%"
"public abstract java.nio.LongBuffer java.nio.ByteBuffer.asLongBuffer()",0,338,338,"INF%",0.0,0.032468780019212294,0.032468780019212294,"INF%"
"public static final int java.util.regex.Pattern.CANON_EQ",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public static final int java.util.regex.Pattern.UNICODE_CHARACTER_CLASS",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public java.net.Socket javax.net.SocketFactory.createSocket() throws java.io.IOException",0,1960,1960,"INF%",0.0,0.1882804995196926,0.1882804995196926,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.net.InetAddress|int|java.net.InetAddress|int) throws java.io.IOException",0,139,139,"INF%",0.0,0.01335254562920269,0.01335254562920269,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.lang.String|int|java.net.InetAddress|int) throws java.io.IOException|java.net.UnknownHostException",0,132,132,"INF%",0.0,0.012680115273775217,0.012680115273775217,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.lang.String|int) throws java.io.IOException|java.net.UnknownHostException",0,126,126,"INF%",0.0,0.012103746397694525,0.012103746397694525,"INF%"
"public abstract java.net.Socket javax.net.SocketFactory.createSocket(java.net.InetAddress|int) throws java.io.IOException",0,267,267,"INF%",0.0,0.025648414985590777,0.025648414985590777,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.asReadOnlyBuffer()",0,642,642,"INF%",0.0,0.061671469740634005,0.061671469740634005,"INF%"
"public abstract double java.nio.ByteBuffer.getDouble()",0,2385,2385,"INF%",0.0,0.22910662824207492,0.22910662824207492,"INF%"
"public abstract double java.nio.ByteBuffer.getDouble(int)",0,545,545,"INF%",0.0,0.05235350624399616,0.05235350624399616,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.compact()",0,756,756,"INF%",0.0,0.07262247838616714,0.07262247838616714,"INF%"
"public final java.nio.Buffer java.nio.Buffer.limit(int)",0,438,438,"INF%",0.0,0.04207492795389049,0.04207492795389049,"INF%"
"public final int java.nio.Buffer.limit()",0,256,256,"INF%",0.0,0.024591738712776177,0.024591738712776177,"INF%"
"public abstract java.nio.IntBuffer java.nio.ByteBuffer.asIntBuffer()",0,1009,1009,"INF%",0.0,0.09692603266090298,0.09692603266090298,"INF%"
"public final int java.nio.ByteBuffer.arrayOffset()",0,162,162,"INF%",0.0,0.015561959654178675,0.015561959654178675,"INF%"
"public final byte[] java.nio.ByteBuffer.array()",0,257,257,"INF%",0.0,0.02468780019212296,0.02468780019212296,"INF%"
"public abstract java.nio.DoubleBuffer java.nio.ByteBuffer.asDoubleBuffer()",0,660,660,"INF%",0.0,0.06340057636887608,0.06340057636887608,"INF%"
"public final java.nio.Buffer java.nio.Buffer.rewind()",0,305,305,"INF%",0.0,0.029298751200768493,0.029298751200768493,"INF%"
"public static java.nio.ByteBuffer java.nio.ByteBuffer.allocateDirect(int)",0,16405,16405,"INF%",0.0,1.5758885686839577,1.5758885686839577,"INF%"
"public java.lang.String[] java.util.regex.Pattern.split(java.lang.CharSequence|int)",0,774,774,"INF%",0.0,0.07435158501440922,0.07435158501440922,"INF%"
"public java.lang.String[] java.util.regex.Pattern.split(java.lang.CharSequence)",0,324,324,"INF%",0.0,0.03112391930835735,0.03112391930835735,"INF%"
"public final java.nio.Buffer java.nio.Buffer.reset()",0,161,161,"INF%",0.0,0.015465898174831893,0.015465898174831893,"INF%"
"public abstract java.nio.CharBuffer java.nio.ByteBuffer.asCharBuffer()",0,1945,1945,"INF%",0.0,0.18683957732949089,0.18683957732949089,"INF%"
"public java.util.stream.Stream java.util.regex.Pattern.splitAsStream(java.lang.CharSequence)",0,1186,1186,"INF%",0.0,0.11392891450528338,0.11392891450528338,"INF%"
"public final boolean java.nio.Buffer.hasRemaining()",0,276,276,"INF%",0.0,0.026512968299711816,0.026512968299711816,"INF%"
"public abstract java.nio.ShortBuffer java.nio.ByteBuffer.asShortBuffer()",0,815,815,"INF%",0.0,0.07829010566762729,0.07829010566762729,"INF%"
"public abstract char java.nio.ByteBuffer.getChar()",0,398,398,"INF%",0.0,0.038232468780019215,0.038232468780019215,"INF%"
"public abstract char java.nio.ByteBuffer.getChar(int)",0,504,504,"INF%",0.0,0.0484149855907781,0.0484149855907781,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putFloat(int|float)",0,781,781,"INF%",0.0,0.0750240153698367,0.0750240153698367,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putFloat(float)",0,528,528,"INF%",0.0,0.050720461095100866,0.050720461095100866,"INF%"
"public final java.nio.ByteBuffer java.nio.ByteBuffer.put(byte[])",0,11382,11382,"INF%",0.0,1.0933717579250721,1.0933717579250721,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.put(byte)",0,1182,1182,"INF%",0.0,0.11354466858789625,0.11354466858789625,"INF%"
"public java.nio.ByteBuffer java.nio.ByteBuffer.put(byte[]|int|int)",0,85,85,"INF%",0.0,0.008165225744476465,0.008165225744476465,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.put(int|byte)",0,802,802,"INF%",0.0,0.07704130643611912,0.07704130643611912,"INF%"
"public java.nio.ByteBuffer java.nio.ByteBuffer.put(java.nio.ByteBuffer)",0,511,511,"INF%",0.0,0.049087415946205575,0.049087415946205575,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putLong(long)",0,13362,13362,"INF%",0.0,1.2835734870317004,1.2835734870317004,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putLong(int|long)",0,366,366,"INF%",0.0,0.03515850144092219,0.03515850144092219,"INF%"
"public int java.nio.ByteBuffer.compareTo(java.nio.ByteBuffer)",0,2073,2073,"INF%",0.0,0.19913544668587896,0.19913544668587896,"INF%"
"byte[5]",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"byte[6]",0,2,2,"INF%",0.0,0.00019212295869356388,0.00019212295869356388,"INF%"
"public abstract float java.nio.ByteBuffer.getFloat(int)",0,3037,3037,"INF%",0.0,0.29173871277617675,0.29173871277617675,"INF%"
"public abstract float java.nio.ByteBuffer.getFloat()",0,617,617,"INF%",0.0,0.059269932756964454,0.059269932756964454,"INF%"
"public final java.nio.Buffer java.nio.Buffer.flip()",0,404,404,"INF%",0.0,0.0388088376560999,0.0388088376560999,"INF%"
"byte[1]",0,4,4,"INF%",0.0,0.00038424591738712776,0.00038424591738712776,"INF%"
"byte[2]",0,9356,9356,"INF%",0.0,0.8987512007684918,0.8987512007684918,"INF%"
"byte[3]",0,14,14,"INF%",0.0,0.0013448607108549472,0.0013448607108549472,"INF%"
"byte[4]",0,3,3,"INF%",0.0,0.00028818443804034583,0.00028818443804034583,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putShort(short)",0,667,667,"INF%",0.0,0.06407300672430355,0.06407300672430355,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putShort(int|short)",0,859,859,"INF%",0.0,0.08251681075888569,0.08251681075888569,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.slice()",0,845,845,"INF%",0.0,0.08117195004803074,0.08117195004803074,"INF%"
"public java.util.function.Predicate java.util.regex.Pattern.asPredicate()",0,718,718,"INF%",0.0,0.06897214217098943,0.06897214217098943,"INF%"
"public static final int java.util.regex.Pattern.UNICODE_CASE",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public final java.nio.Buffer java.nio.Buffer.mark()",0,347,347,"INF%",0.0,0.03333333333333333,0.03333333333333333,"INF%"
"public static java.lang.String java.util.regex.Pattern.quote(java.lang.String)",0,66,66,"INF%",0.0,0.006340057636887608,0.006340057636887608,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putChar(char)",0,1193,1193,"INF%",0.0,0.11460134486071086,0.11460134486071086,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putChar(int|char)",0,1096,1096,"INF%",0.0,0.105283381364073,0.105283381364073,"INF%"
"public static final int java.util.regex.Pattern.DOTALL",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public final boolean java.nio.ByteBuffer.hasArray()",0,4025,4025,"INF%",0.0,0.3866474543707973,0.3866474543707973,"INF%"
"public final java.nio.ByteOrder java.nio.ByteBuffer.order()",0,1258,1258,"INF%",0.0,0.12084534101825169,0.12084534101825169,"INF%"
"public final java.nio.ByteBuffer java.nio.ByteBuffer.order(java.nio.ByteOrder)",0,1025,1025,"INF%",0.0,0.09846301633045149,0.09846301633045149,"INF%"
"public int java.util.regex.Pattern.flags()",0,417,417,"INF%",0.0,0.04005763688760807,0.04005763688760807,"INF%"
"public java.lang.String java.util.regex.Pattern.pattern()",0,356,356,"INF%",0.0,0.03419788664745437,0.03419788664745437,"INF%"
"public static java.nio.ByteBuffer java.nio.ByteBuffer.wrap(byte[]|int|int)",0,123,123,"INF%",0.0,0.01181556195965418,0.01181556195965418,"INF%"
"public static java.nio.ByteBuffer java.nio.ByteBuffer.wrap(byte[])",0,562,562,"INF%",0.0,0.05398655139289145,0.05398655139289145,"INF%"
"public static java.nio.ByteBuffer java.nio.ByteBuffer.allocate(int)",0,964,964,"INF%",0.0,0.09260326609029779,0.09260326609029779,"INF%"
"public abstract int java.nio.ByteBuffer.getInt(int)",0,809,809,"INF%",0.0,0.07771373679154658,0.07771373679154658,"INF%"
"public abstract int java.nio.ByteBuffer.getInt()",0,248,248,"INF%",0.0,0.02382324687800192,0.02382324687800192,"INF%"
"public final java.nio.Buffer java.nio.Buffer.clear()",0,412,412,"INF%",0.0,0.03957732949087416,0.03957732949087416,"INF%"
"public static final int java.util.regex.Pattern.LITERAL",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putDouble(int|double)",0,995,995,"INF%",0.0,0.09558117195004803,0.09558117195004803,"INF%"
"public static synchronized javax.net.SocketFactory javax.net.ssl.SSLSocketFactory.getDefault()",0,545,545,"INF%",0.0,0.05235350624399616,0.05235350624399616,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.putDouble(double)",0,3077,3077,"INF%",0.0,0.295581171950048,0.295581171950048,"INF%"
"public static final int java.util.regex.Pattern.CASE_INSENSITIVE",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public static boolean java.util.regex.Pattern.matches(java.lang.String|java.lang.CharSequence)",0,433,433,"INF%",0.0,0.041594620557156584,0.041594620557156584,"INF%"
"public java.nio.ByteBuffer java.nio.ByteBuffer.get(byte[]|int|int)",0,2819,2819,"INF%",0.0,0.2707973102785783,0.2707973102785783,"INF%"
"public abstract byte java.nio.ByteBuffer.get()",0,417,417,"INF%",0.0,0.04005763688760807,0.04005763688760807,"INF%"
"public abstract byte java.nio.ByteBuffer.get(int)",0,857,857,"INF%",0.0,0.08232468780019213,0.08232468780019213,"INF%"
"public java.nio.ByteBuffer java.nio.ByteBuffer.get(byte[])",0,1129,1129,"INF%",0.0,0.10845341018251681,0.10845341018251681,"INF%"
"public java.util.regex.Matcher java.util.regex.Pattern.matcher(java.lang.CharSequence)",0,1369,1369,"INF%",0.0,0.1315081652257445,0.1315081652257445,"INF%"
"public abstract java.nio.ByteBuffer java.nio.ByteBuffer.duplicate()",0,897,897,"INF%",0.0,0.0861671469740634,0.0861671469740634,"INF%"
"public abstract boolean java.nio.ByteBuffer.isDirect()",0,817,817,"INF%",0.0,0.07848222862632084,0.07848222862632084,"INF%"
"public static final int java.util.regex.Pattern.UNIX_LINES",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public java.lang.String java.nio.ByteBuffer.toString()",0,693,693,"INF%",0.0,0.06657060518731989,0.06657060518731989,"INF%"
"public boolean java.nio.ByteBuffer.equals(java.lang.Object)",0,1020,1020,"INF%",0.0,0.09798270893371758,0.09798270893371758,"INF%"
"public abstract long java.nio.ByteBuffer.getLong()",0,3107,3107,"INF%",0.0,0.29846301633045147,0.29846301633045147,"INF%"
"public abstract long java.nio.ByteBuffer.getLong(int)",0,197,197,"INF%",0.0,0.018924111431316042,0.018924111431316042,"INF%"
"public java.lang.String java.util.regex.Pattern.toString()",0,118,118,"INF%",0.0,0.011335254562920269,0.011335254562920269,"INF%"
"public abstract boolean java.nio.Buffer.isReadOnly()",0,506,506,"INF%",0.0,0.04860710854947166,0.04860710854947166,"INF%"
"public static final int java.util.regex.Pattern.COMMENTS",0,1,1,"INF%",0.0,9.606147934678194e-05,9.606147934678194e-05,"INF%"
"public final int java.nio.Buffer.capacity()",0,327,327,"INF%",0.0,0.0314121037463977,0.0314121037463977,"INF%"
